,mean_temp
14452,25.9
4643,16.8
1486,9.2
8122,8.8
12355,9.0
774,2.2
1631,17.6
5589,9.1
10159,12.4
469,14.5
14809,16.3
8507,10.2
11356,6.2
13056,18.4
5038,4.7
12454,4.0
10098,16.4
598,18.1
4562,14.8
12675,11.7
11203,16.6
13346,20.0
1905,6.1
11953,13.7
9247,14.8
7510,22.2
10843,15.6
7949,10.2
13259,11.9
13182,1.8
9191,2.4
4679,8.9
5770,11.2
10764,15.8
5186,11.4
15304,10.4
10549,6.4
5400,9.4
6926,5.0
8740,6.7
10607,6.4
2837,17.0
6672,10.1
14778,15.3
3218,8.5
3573,11.1
3132,16.6
6634,8.2
3520,15.0
6757,14.5
2588,2.6
3338,8.1
5120,6.6
3353,6.8
4308,15.0
1758,8.3
11883,18.8
10608,6.7
852,7.8
1494,2.6
12399,-1.9
8425,6.4
2464,18.6
11893,17.5
6373,15.5
9287,18.1
13613,9.0
7284,9.0
10022,22.2
7700,11.5
4789,7.5
4608,21.0
11942,18.6
8699,12.7
13267,10.5
500,14.3
10618,8.2
5250,17.2
14238,9.8
1046,10.0
11814,18.6
2633,7.4
7300,9.0
15157,18.4
8373,8.4
4925,19.4
5331,15.6
13462,14.2
14842,17.1
6025,18.2
777,2.0
4791,7.4
7229,12.2
10629,6.9
4019,5.2
1194,5.2
10444,19.7
51,2.1
8963,19.2
2304,8.0
8544,14.4
12654,18.0
5813,7.7
1113,6.4
2982,8.5
656,6.7
3254,0.3
13128,8.0
1187,8.2
15241,17.0
11465,19.9
11370,5.7
565,16.9
4118,10.4
11658,-0.6
840,7.6
3888,19.0
1642,15.4
10697,7.2
14105,17.1
10925,3.0
2666,10.0
1972,9.8
6880,4.6
11791,10.4
1149,1.1
4092,10.2
10565,11.3
8739,6.6
765,4.6
4802,8.1
7918,15.6
7708,10.4
3872,20.7
11896,19.5
9051,13.6
2620,7.9
9616,17.2
3026,9.7
4990,15.6
4102,5.5
6820,17.0
11512,23.5
14517,10.5
5967,18.0
7796,16.4
11818,13.5
2685,11.5
9602,6.1
9974,11.2
14347,9.8
911,15.6
10381,16.2
13713,22.5
13030,17.4
7413,6.6
1345,18.0
1444,6.6
12148,7.8
3499,16.0
13844,6.1
5306,12.9
12926,14.1
14766,14.8
2422,18.4
5146,7.0
2732,18.8
80,5.0
4217,22.0
13702,19.0
13242,9.1
9129,3.4
10464,19.5
12074,8.7
15194,26.2
5135,8.8
1572,10.3
13299,13.5
879,13.8
1578,10.6
12742,2.4
1509,2.4
1896,7.2
4746,6.4
14942,5.3
4112,4.6
8999,22.0
1845,1.8
12304,18.4
5562,11.4
13488,13.1
6932,11.2
7507,14.0
11118,14.4
4742,5.4
11161,18.4
14222,1.3
13441,12.0
7757,6.2
14442,19.4
9001,22.6
13548,8.8
3614,2.2
2108,16.0
15061,7.7
4901,16.6
15287,11.3
14715,11.7
4696,5.2
5613,15.0
12301,15.9
6702,9.0
4843,6.4
13521,5.0
13648,11.1
7149,18.6
13150,8.6
4325,6.6
3219,7.2
7934,12.9
5100,5.1
13495,8.3
1193,7.4
45,-2.2
13934,6.2
976,16.4
5081,9.0
2963,5.2
1584,10.5
5868,8.8
4515,15.2
13098,11.4
9931,4.7
1975,12.6
3912,19.3
10041,19.0
13649,11.3
4411,1.2
13162,6.6
7073,19.5
13817,10.0
