,mean_temp
12220,15.9
13631,6.5
6223,7.0
5640,13.4
11291,5.9
3027,11.6
8826,8.5
2389,16.1
12250,15.8
13552,7.8
1592,10.5
2391,15.6
3082,11.3
7664,5.4
14349,11.9
9869,3.0
8451,9.8
10979,6.4
5245,14.8
12048,10.4
15118,15.6
2901,5.2
4099,8.2
13751,23.2
13072,14.9
2540,11.3
10753,19.4
10368,
4772,1.0
2354,13.3
6126,16.6
6463,14.4
7372,6.4
12570,14.4
4184,16.2
12822,7.3
2576,6.2
7416,11.8
9810,10.0
14152,14.2
12893,10.5
13711,21.6
10441,18.4
1281,17.0
6244,-1.4
13997,11.2
5964,13.7
7303,9.4
6558,3.1
7771,5.2
14606,6.9
8888,12.2
7217,10.0
415,6.4
5809,10.6
13700,18.2
710,10.0
6724,17.2
3528,14.6
4503,8.2
2528,13.6
12615,24.1
5537,9.4
13719,20.2
2893,11.6
13737,19.7
15087,14.3
8893,11.7
11199,15.3
4533,11.2
4091,9.6
10029,21.8
2888,6.2
12474,2.6
1523,4.5
14358,14.3
5436,2.4
12584,14.5
1406,11.1
11327,-1.9
4894,21.4
11300,9.4
5379,12.6
6515,14.3
1811,7.2
5066,4.3
9030,19.0
11263,9.4
7302,6.5
10186,7.1
9513,7.6
10857,15.4
15200,24.9
14896,13.2
1486,9.2
8904,13.7
6791,19.2
774,2.2
1631,17.6
7861,14.0
14260,6.7
469,14.5
10657,7.1
8506,9.2
7149,18.6
13055,16.2
12981,23.2
14068,22.2
10097,18.0
598,18.1
4562,14.8
13237,8.9
8391,0.4
13248,13.8
1905,6.1
6662,7.4
7764,4.0
7508,17.4
8276,17.0
5563,6.9
10428,16.1
13181,-0.2
14228,3.3
10200,10.8
5768,9.6
9490,3.0
5399,13.1
7847,16.2
5786,13.2
12414,7.2
8638,15.2
8739,6.6
9113,8.0
2837,17.0
6670,11.3
10153,16.2
3218,8.5
3573,11.1
3132,16.6
6632,6.4
3520,15.0
7717,6.0
2588,2.6
3338,8.1
5118,6.9
3353,6.8
4308,15.0
1758,8.3
